Experiment,Transect,Plot,Treatment,Species,HostGroup,BackgroundSpecies,Density,Observer,DamageDate,SeedCollectionDate,Plant.ID,leaf1,leaf2,leaf3,leaf4,leaf5,leaf6,Rust?,SeedCollection,Notes
Competition,NA,3,fungicide,EG,EG seed,All,1,SCD,5/11/16,5/17/16,X531,1,0,0.1,NA,NA,NA,,NO,
Competition,NA,3,fungicide,SP,SP seed,All,1,SCD,5/11/16,5/17/16,X528,0.1,1,0,NA,NA,NA,,NO,
Competition,NA,3,fungicide,EG,EG adult,All,1,SCD,5/11/16,5/17/16,X532,1,0,1,NA,NA,NA,,NO,
Competition,NA,3,fungicide,SP,SP adult,All,1,SCD,5/11/16,5/9/16,X533,10,5,1,NA,NA,NA,,YES,
Competition,NA,4,ambient,AB,AB seed,All,1,SCD,5/11/16,5/17/16,X537,5,1,0.1,NA,NA,NA,,YES,
Competition,NA,4,ambient,BD,BD seed,All,1,SCD,5/11/16,5/17/16,DEAD,NA,NA,NA,NA,NA,NA,,NA,
Competition,NA,4,ambient,BH,BH seed,All,1,SCD,5/11/16,5/17/16,X536,1,0.1,5,NA,NA,NA,,YES,
Competition,NA,4,ambient,EG,EG seed,All,1,SCD,5/11/16,5/17/16,X538,10,5,0,NA,NA,NA,YES,NO,ORANGE RUST
Competition,NA,4,ambient,SP,SP seed,All,1,SCD,5/11/16,5/17/16,X534,5,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,4,ambient,EG,EG adult,All,1,SCD,5/11/16,5/17/16,DEAD,NA,NA,NA,NA,NA,NA,,NA,
Competition,NA,4,ambient,SP,SP adult,All,1,SCD,5/11/16,5/9/16,X535,10,10,5,NA,NA,NA,,YES TWO,2ND ON 5/17
Competition,NA,5,ambient,AB,AB seed,All,1,SCD,5/11/16,5/17/16,X543,1,1,0.1,NA,NA,NA,,YES,
Competition,NA,5,ambient,BD,BD seed,All,1,SCD,5/11/16,5/17/16,X539,0.1,0,0,NA,NA,NA,,YES,
Competition,NA,5,ambient,BH,BH seed,All,1,SCD,5/11/16,5/17/16,X544,0,0,1,NA,NA,NA,,YES,
Competition,NA,5,ambient,EG,EG seed,All,1,SCD,5/11/16,5/17/16,X540,0,0.1,1,NA,NA,NA,,NO,
Competition,NA,5,ambient,SP,SP seed,All,1,SCD,5/11/16,5/17/16,X541,0,1,0.1,NA,NA,NA,,NO,
Competition,NA,5,ambient,EG,EG adult,All,1,SCD,5/11/16,5/17/16,X545,5,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,5,ambient,SP,SP adult,All,1,SCD,5/11/16,5/9/16,X542,5,5,10,NA,NA,NA,,YES,
Competition,NA,6,inoculation,AB,AB seed,All,1,TCB,5/11/16,5/17/16,X551,0.1,0.1,0.1,NA,NA,NA,,YES,
Competition,NA,6,inoculation,BD,BD seed,All,1,TCB,5/11/16,5/17/16,X549,5,1,0.1,NA,NA,NA,,YES,
Competition,NA,6,inoculation,BH,BH seed,All,1,TCB,5/11/16,5/17/16,X548,0,0,0,NA,NA,NA,,YES,
Competition,NA,6,inoculation,EG,EG seed,All,1,TCB,5/11/16,5/17/16,X546,1,0,0.1,NA,NA,NA,,NO,
Competition,NA,6,inoculation,SP,SP seed,All,1,TCB,5/11/16,5/17/16,X550,0,5,0.1,NA,NA,NA,,NO,
Competition,NA,6,inoculation,EG,EG adult,All,1,TCB,5/11/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NA,
Competition,NA,6,inoculation,SP,SP adult,All,1,TCB,5/11/16,5/9/16,X547,1,1,10,NA,NA,NA,,YES,
Competition,NA,7,inoculation,AB,AB seed,All,1,TCB,5/11/16,5/17/16,X554,1,0.1,0,NA,NA,NA,,YES,
Competition,NA,7,inoculation,BD,BD seed,All,1,TCB,5/11/16,5/17/16,X552,0.1,0.1,0.1,NA,NA,NA,,YES,
Competition,NA,7,inoculation,BH,BH seed,All,1,TCB,5/11/16,5/17/16,X555,0.1,0,0.1,NA,NA,NA,,YES,
Competition,NA,7,inoculation,EG,EG seed,All,1,TCB,5/11/16,5/17/16,X553,1,1,0,NA,NA,NA,,YES,
Competition,NA,7,inoculation,SP,SP seed,All,1,TCB,5/11/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NO,
Competition,NA,7,inoculation,EG,EG adult,All,1,TCB,5/11/16,5/17/16,X556,1,0.1,1,NA,NA,NA,,YES,
Competition,NA,7,inoculation,SP,SP adult,All,1,TCB,5/11/16,5/9/16,X557,1,1,1,NA,NA,NA,,YES,
Competition,NA,8,ambient,AB,AB seed,All,1,TCB,5/11/16,5/17/16,X558,0.1,0.1,0.1,NA,NA,NA,,YES,
Competition,NA,8,ambient,BD,BD seed,All,1,TCB,5/11/16,5/17/16,X560,1,0.1,0.1,NA,NA,NA,,YES,
Competition,NA,8,ambient,BH,BH seed,All,1,TCB,5/11/16,5/17/16,X562,0,0,0,NA,NA,NA,,YES,
Competition,NA,8,ambient,EG,EG seed,All,1,TCB,5/11/16,5/17/16,X559,0,0,0.1,NA,NA,NA,,NO,
Competition,NA,8,ambient,SP,SP seed,All,1,TCB,5/11/16,5/17/16,X561,1,0,0.1,NA,NA,NA,,NO,
Competition,NA,8,ambient,EG,EG adult,All,1,TCB,5/11/16,5/17/16,X564,1,0,1,NA,NA,NA,,NO,
Competition,NA,8,ambient,SP,SP adult,All,1,TCB,5/11/16,5/9/16,X563,10,25,5,NA,NA,NA,,YES,
Competition,NA,9,fungicide,AB,AB seed,All,1,SCD,5/11/16,5/17/16,X565,1,0.1,0.1,NA,NA,NA,,YES,
Competition,NA,9,fungicide,BD,BD seed,All,1,SCD,5/11/16,5/17/16,X571,5,0,0,NA,NA,NA,,YES,
Competition,NA,9,fungicide,BH,BH seed,All,1,SCD,5/11/16,5/17/16,X566,5,0,1,NA,NA,NA,,YES,
Competition,NA,9,fungicide,EG,EG seed,All,1,SCD,5/11/16,5/17/16,X567,1,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,9,fungicide,SP,SP seed,All,1,SCD,5/11/16,5/17/16,X570,1,1,0.1,NA,NA,NA,,NO,
Competition,NA,9,fungicide,EG,EG adult,All,1,SCD,5/11/16,5/17/16,X568,5,0.1,1,NA,NA,NA,,YES,
Competition,NA,9,fungicide,SP,SP adult,All,1,SCD,5/11/16,5/9/16,X569,1,1,0.1,NA,NA,NA,,YES,
Competition,NA,10,fungicide,AB,AB seed,All,1,SCD,5/11/16,5/17/16,X573,0,0.1,0,NA,NA,NA,,YES,"AB TAG LOST, NEW ETAG NUMBER IS 1097, COULD BE A DIFFERENT PLANT"
Competition,NA,10,fungicide,BD,BD seed,All,1,SCD,5/11/16,5/17/16,X572,0,0.1,0.1,NA,NA,NA,,YES,
Competition,NA,10,fungicide,BH,BH seed,All,1,SCD,5/11/16,5/17/16,X575,5,0.1,5,NA,NA,NA,,YES,
Competition,NA,10,fungicide,EG,EG seed,All,1,SCD,5/11/16,5/17/16,X577,1,0,0.1,NA,NA,NA,,NO,
Competition,NA,10,fungicide,SP,SP seed,All,1,SCD,5/11/16,5/17/16,X576,0.1,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,10,fungicide,EG,EG adult,All,1,SCD,5/11/16,5/17/16,X574,0.1,1,1,NA,NA,NA,,YES,
Competition,NA,10,fungicide,SP,SP adult,All,1,SCD,5/11/16,5/9/16,X578,5,5,5,NA,NA,NA,,YES,
Competition,NA,11,ambient,AB,AB seed,All,1,SCD,5/11/16,5/17/16,X579,0.1,1,0.1,NA,NA,NA,,YES,
Competition,NA,11,ambient,BD,BD seed,All,1,SCD,5/11/16,5/17/16,X581,0.1,0,5,NA,NA,NA,,YES,
Competition,NA,11,ambient,BH,BH seed,All,1,SCD,5/11/16,5/17/16,X584,0,0.1,0,NA,NA,NA,,YES,
Competition,NA,11,ambient,EG,EG seed,All,1,SCD,5/11/16,5/17/16,X580,1,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,11,ambient,SP,SP seed,All,1,SCD,5/11/16,5/17/16,X582,5,0.1,0,NA,NA,NA,,NO,
Competition,NA,11,ambient,EG,EG adult,All,1,SCD,5/11/16,5/17/16,X583,1,0,1,NA,NA,NA,,YES,
Competition,NA,11,ambient,SP,SP adult,All,1,SCD,5/11/16,5/9/16,X585,25,5,10,NA,NA,NA,,YES,
Competition,NA,240,inoculation,AB,AB seed,SP seed,40,SCD,5/11/16,5/17/16,X591,1,1,0,NA,NA,NA,YES,YES,ORANGE RUST
Competition,NA,240,inoculation,BD,BD seed,SP seed,40,SCD,5/11/16,5/17/16,X590,0.1,0,0,NA,NA,NA,,YES,
Competition,NA,240,inoculation,BH,BH seed,SP seed,40,SCD,5/11/16,5/17/16,X586,0,0,NA,NA,NA,NA,,YES,
Competition,NA,240,inoculation,EG,EG seed,SP seed,40,SCD,5/11/16,5/17/16,X587,5,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,240,inoculation,SP,SP seed,SP seed,40,SCD,5/11/16,5/17/16,X592,1,0,0,NA,NA,NA,,NO,
Competition,NA,240,inoculation,EG,EG adult,SP seed,40,SCD,5/11/16,5/17/16,X588,1,0.1,0,NA,NA,NA,,NO,
Competition,NA,240,inoculation,SP,SP adult,SP seed,40,SCD,5/11/16,5/9/16,X589,25,5,10,NA,NA,NA,,YES,
Competition,NA,55,inoculation,AB,AB seed,SP adult,2,TCB,5/11/16,5/17/16,X596,5,1,1,NA,NA,NA,,YES,
Competition,NA,55,inoculation,BD,BD seed,SP adult,2,TCB,5/11/16,5/17/16,X595,1,0.1,0.1,NA,NA,NA,,YES,
Competition,NA,55,inoculation,BH,BH seed,SP adult,2,TCB,5/11/16,5/17/16,X597,1,1,0,NA,NA,NA,,YES,
Competition,NA,55,inoculation,EG,EG seed,SP adult,2,TCB,5/11/16,5/17/16,X594,1,0.1,0,NA,NA,NA,,NO,
Competition,NA,55,inoculation,SP,SP seed,SP adult,2,TCB,5/11/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NO,
Competition,NA,55,inoculation,EG,EG adult,SP adult,2,TCB,5/11/16,5/17/16,X598,1,1,0.1,NA,NA,NA,,NO,
Competition,NA,55,inoculation,SP,SP adult,SP adult,2,TCB,5/11/16,5/9/16,X593,25,10,0,NA,NA,NA,,YES,
Competition,NA,49,fungicide,AB,AB seed,SP adult,4,TCB,5/11/16,5/11/16,X808,NA,NA,NA,NA,NA,NA,,YES,
Competition,NA,49,fungicide,BD,BD seed,SP adult,4,TCB,5/11/16,5/11/16,X809,NA,NA,NA,NA,NA,NA,,YES,
Competition,NA,49,fungicide,BH,BH seed,SP adult,4,TCB,5/11/16,5/11/16,X810,0,0,NA,NA,NA,NA,,YES,
Competition,NA,49,fungicide,EG,EG seed,SP adult,4,TCB,5/11/16,5/11/16,X811,0.1,0,0,NA,NA,NA,,NO,
Competition,NA,49,fungicide,SP,SP seed,SP adult,4,TCB,5/11/16,5/11/16,MISSING,NA,NA,NA,NA,NA,NA,,NO,
Competition,NA,49,fungicide,EG,EG adult,SP adult,4,TCB,5/11/16,5/11/16,X812,0.1,0.1,0,NA,NA,NA,,YES,
Competition,NA,49,fungicide,SP,SP adult,SP adult,4,TCB,5/11/16,5/9/16,X677,0.1,0.1,0,NA,NA,NA,,YES,
Competition,NA,61,inoculation,AB,AB seed,EG adult,10,TCB,5/5/16,5/17/16,X604,1,1,0.1,NA,NA,NA,,YES,
Competition,NA,61,inoculation,BD,BD seed,EG adult,10,TCB,5/5/16,5/17/16,X605,0,0.1,NA,NA,NA,NA,,YES,
Competition,NA,61,inoculation,BH,BH seed,EG adult,10,TCB,5/5/16,5/17/16,X606,0.1,0,0.1,NA,NA,NA,,YES,
Competition,NA,61,inoculation,EG,EG seed,EG adult,10,TCB,5/5/16,5/17/16,X603,1,0.1,0,NA,NA,NA,,NO,
Competition,NA,61,inoculation,SP,SP seed,EG adult,10,TCB,5/5/16,5/17/16,X607,0.1,0,0,NA,NA,NA,,NO,
Competition,NA,61,inoculation,EG,EG adult,EG adult,10,TCB,5/5/16,5/17/16,X174,0.1,1,0.1,NA,NA,NA,,YES,
Competition,NA,61,inoculation,SP,SP adult,EG adult,10,TCB,5/5/16,5/17/16,X608,1,0.1,0,NA,NA,NA,,NO,
Competition,NA,62,inoculation,AB,AB seed,BD seed,40,TCB,5/5/16,5/17/16,X611,1,1,0,NA,NA,NA,,YES,
Competition,NA,62,inoculation,BD,BD seed,BD seed,40,TCB,5/5/16,5/17/16,X613,0.1,0,0,NA,NA,NA,,YES,
Competition,NA,62,inoculation,BH,BH seed,BD seed,40,TCB,5/5/16,5/17/16,X612,0,0.1,NA,NA,NA,NA,,YES,
Competition,NA,62,inoculation,EG,EG seed,BD seed,40,TCB,5/5/16,5/17/16,X609,1,0.1,1,NA,NA,NA,,NO,
Competition,NA,62,inoculation,SP,SP seed,BD seed,40,TCB,5/5/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NO,
Competition,NA,62,inoculation,EG,EG adult,BD seed,40,TCB,5/5/16,5/17/16,X610,1,1,5,NA,NA,NA,,NO,Young leaves only
Competition,NA,62,inoculation,SP,SP adult,BD seed,40,TCB,5/5/16,5/9/16,X618,10,10,1,NA,NA,NA,,YES,
Competition,NA,63,fungicide,AB,AB seed,BD seed,10,TCB,5/5/16,5/17/16,X619,1,0.1,1,NA,NA,NA,,YES,
Competition,NA,63,fungicide,BD,BD seed,BD seed,10,TCB,5/5/16,5/17/16,X615,0,0.1,NA,NA,NA,NA,,YES,
Competition,NA,63,fungicide,BH,BH seed,BD seed,10,TCB,5/5/16,5/17/16,X617,0.1,0,0,NA,NA,NA,,YES,
Competition,NA,63,fungicide,EG,EG seed,BD seed,10,TCB,5/5/16,5/17/16,X616,1,0.1,0,NA,NA,NA,,NO,
Competition,NA,63,fungicide,SP,SP seed,BD seed,10,TCB,5/5/16,5/17/16,X620,0.1,0,0,NA,NA,NA,,NO,
Competition,NA,63,fungicide,EG,EG adult,BD seed,10,TCB,5/5/16,5/17/16,X621,1,0.1,0.1,NA,NA,NA,,YES,
Competition,NA,63,fungicide,SP,SP adult,BD seed,10,TCB,5/5/16,5/9/16,X622,5,5,1,NA,NA,NA,,YES,
Competition,NA,37,inoculation,AB,AB seed,SP adult,8,TCB,5/13/16,5/17/16,X813,0.1,0.1,0,NA,NA,NA,YES,YES,Orange Rust
Competition,NA,37,inoculation,BD,BD seed,SP adult,8,TCB,5/13/16,5/17/16,X814,0.1,NA,NA,NA,NA,NA,,YES,
Competition,NA,37,inoculation,BH,BH seed,SP adult,8,TCB,5/13/16,5/17/16,X815,0,0,0,NA,NA,NA,,YES,
Competition,NA,37,inoculation,EG,EG seed,SP adult,8,TCB,5/13/16,5/17/16,X816,1,0.1,0,NA,NA,NA,,NO,
Competition,NA,37,inoculation,SP,SP seed,SP adult,8,TCB,5/13/16,5/17/16,X817,1,0,1,NA,NA,NA,,NO,
Competition,NA,37,inoculation,EG,EG adult,SP adult,8,TCB,5/13/16,5/17/16,X818,0.1,1,0.1,NA,NA,NA,,YES,
Competition,NA,37,inoculation,SP,SP adult,SP adult,8,TCB,5/13/16,5/9/16,X599,0.1,0,0,NA,NA,NA,,YES,
Competition,NA,64,ambient,AB,AB seed,AB seed,40,TCB,5/5/16,5/17/16,X623,1,0.1,1,NA,NA,NA,YES,YES,Orange Rust
Competition,NA,64,ambient,BD,BD seed,AB seed,40,TCB,5/5/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NA,
Competition,NA,64,ambient,BH,BH seed,AB seed,40,TCB,5/5/16,5/17/16,X625,0,NA,NA,NA,NA,NA,,YES,
Competition,NA,64,ambient,EG,EG seed,AB seed,40,TCB,5/5/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NO,
Competition,NA,64,ambient,SP,SP seed,AB seed,40,TCB,5/5/16,5/17/16,X624,1,0.1,NA,NA,NA,NA,,NO,
Competition,NA,64,ambient,EG,EG adult,AB seed,40,TCB,5/5/16,5/17/16,X627,1,0,0,NA,NA,NA,,YES,
Competition,NA,64,ambient,SP,SP adult,AB seed,40,TCB,5/5/16,5/9/16,X626,5,1,1,NA,NA,NA,,YES,
Competition,NA,65,inoculation,AB,AB seed,EG seed,100,TCB,5/5/16,5/17/16,X629,0,0.1,0,NA,NA,NA,YES,YES,Orange Rust
Competition,NA,65,inoculation,BD,BD seed,EG seed,100,TCB,5/5/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NA,
Competition,NA,65,inoculation,BH,BH seed,EG seed,100,TCB,5/5/16,5/17/16,X631,0.1,0,0,NA,NA,NA,,YES,
Competition,NA,65,inoculation,EG,EG seed,EG seed,100,TCB,5/5/16,5/17/16,X628,0.1,0.1,0,NA,NA,NA,,NO,
Competition,NA,65,inoculation,SP,SP seed,EG seed,100,TCB,5/5/16,5/17/16,X630,0,0,0.1,NA,NA,NA,,NO,
Competition,NA,65,inoculation,EG,EG adult,EG seed,100,TCB,5/5/16,5/17/16,X632,0.1,0.1,0,NA,NA,NA,,YES,
Competition,NA,65,inoculation,SP,SP adult,EG seed,100,TCB,5/5/16,5/9/16,X633,1,1,5,NA,NA,NA,,YES,
Competition,NA,66,fungicide,AB,AB seed,EG adult,8,TCB,5/5/16,5/17/16,X634,0,0,0,NA,NA,NA,,YES,
Competition,NA,66,fungicide,BD,BD seed,EG adult,8,TCB,5/5/16,5/17/16,X635,0,NA,NA,NA,NA,NA,,YES,
Competition,NA,66,fungicide,BH,BH seed,EG adult,8,TCB,5/5/16,5/17/16,X636,0,0.1,0,NA,NA,NA,,YES,
Competition,NA,66,fungicide,EG,EG seed,EG adult,8,TCB,5/5/16,5/17/16,X637,1,1,1,NA,NA,NA,,NO,
Competition,NA,66,fungicide,SP,SP seed,EG adult,8,TCB,5/5/16,5/17/16,X638,0,0,0,NA,NA,NA,,YES,
Competition,NA,66,fungicide,EG,EG adult,EG adult,8,TCB,5/5/16,5/17/16,X639,1,1,0.1,NA,NA,NA,,YES,
Competition,NA,66,fungicide,SP,SP adult,EG adult,8,TCB,5/5/16,5/9/16,X642,0,0,5,NA,NA,NA,,YES,
Competition,NA,67,fungicide,AB,AB seed,EG adult,6,TCB,5/5/16,5/17/16,X643,0.1,0,0.1,NA,NA,NA,,YES,
Competition,NA,67,fungicide,BD,BD seed,EG adult,6,TCB,5/5/16,5/17/16,X640,0.1,0,0,NA,NA,NA,,YES,
Competition,NA,67,fungicide,BH,BH seed,EG adult,6,TCB,5/5/16,5/17/16,X641,0,0,0,NA,NA,NA,,YES,
Competition,NA,67,fungicide,EG,EG seed,EG adult,6,TCB,5/5/16,5/17/16,X644,0,0,0,NA,NA,NA,,NO,
Competition,NA,67,fungicide,SP,SP seed,EG adult,6,TCB,5/5/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NO,
Competition,NA,67,fungicide,EG,EG adult,EG adult,6,TCB,5/5/16,5/17/16,X645,0.1,0.1,0,NA,NA,NA,,NO,
Competition,NA,67,fungicide,SP,SP adult,EG adult,6,TCB,5/5/16,5/9/16,X646,5,0.1,1,NA,NA,NA,,YES,
Competition,NA,68,ambient,AB,AB seed,BH seed,20,TCB,5/5/16,5/17/16,X648,0.1,0,NA,NA,NA,NA,,YES,
Competition,NA,68,ambient,BD,BD seed,BH seed,20,TCB,5/5/16,5/17/16,X647,0.1,NA,NA,NA,NA,NA,,YES,
Competition,NA,68,ambient,BH,BH seed,BH seed,20,TCB,5/5/16,5/17/16,X649,0.1,0,0,NA,NA,NA,,YES,
Competition,NA,68,ambient,EG,EG seed,BH seed,20,TCB,5/5/16,5/17/16,X650,1,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,68,ambient,SP,SP seed,BH seed,20,TCB,5/5/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NO,
Competition,NA,68,ambient,EG,EG adult,BH seed,20,TCB,5/5/16,5/17/16,X652,0.1,1,0.1,NA,NA,NA,,YES,
Competition,NA,68,ambient,SP,SP adult,BH seed,20,TCB,5/5/16,5/11/16,X651,10,10,0.1,NA,NA,NA,,YES,
Competition,NA,69,fungicide,AB,AB seed,BH seed,10,TCB,5/5/16,5/17/16,X659,1,0,0,NA,NA,NA,,YES,
Competition,NA,69,fungicide,BD,BD seed,BH seed,10,TCB,5/5/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,NA,
Competition,NA,69,fungicide,BH,BH seed,BH seed,10,TCB,5/5/16,5/17/16,X655,0,0,0,NA,NA,NA,,YES,
Competition,NA,69,fungicide,EG,EG seed,BH seed,10,TCB,5/5/16,5/17/16,X654,0,0,0.1,NA,NA,NA,,NO,
Competition,NA,69,fungicide,SP,SP seed,BH seed,10,TCB,5/5/16,5/17/16,X653,0.1,0.1,0,NA,NA,NA,,NO,
Competition,NA,69,fungicide,EG,EG adult,BH seed,10,TCB,5/5/16,5/17/16,X656,0.1,0.1,0,NA,NA,NA,,YES,
Competition,NA,69,fungicide,SP,SP adult,BH seed,10,TCB,5/5/16,5/17/16,X657,1,0,0.1,NA,NA,NA,,NO,
Competition,NA,70,ambient,AB,AB seed,EG seed,80,TCB,5/5/16,5/17/16,X655,1,0.1,0,NA,NA,NA,YES,YES,Orange Rust
Competition,NA,70,ambient,BD,BD seed,EG seed,80,TCB,5/5/16,5/17/16,X660,NA,NA,NA,NA,NA,NA,,YES,
Competition,NA,70,ambient,BH,BH seed,EG seed,80,TCB,5/5/16,5/17/16,X658,0,0,NA,NA,NA,NA,,YES,
Competition,NA,70,ambient,EG,EG seed,EG seed,80,TCB,5/5/16,5/17/16,X661,1,0.1,0.1,NA,NA,NA,,NO,
Competition,NA,70,ambient,SP,SP seed,EG seed,80,TCB,5/5/16,5/17/16,X664,0,5,0.1,NA,NA,NA,,NO,
Competition,NA,70,ambient,EG,EG adult,EG seed,80,TCB,5/5/16,5/17/16,X663,1,1,0,NA,NA,NA,YES,NO,Orange Rust
Competition,NA,70,ambient,SP,SP adult,EG seed,80,TCB,5/5/16,5/11/16,X662,1,0.1,0,NA,NA,NA,,YES TWO,2ND ON 5/17
Competition,NA,71,inoculation,AB,AB seed,BH seed,20,TCB,5/5/16,5/17/16,X669,0,0,0,NA,NA,NA,YES,YES,Orange Rust
Competition,NA,71,inoculation,BD,BD seed,BH seed,20,TCB,5/5/16,5/17/16,MISSING,NA,NA,NA,NA,NA,NA,,YES,
Competition,NA,71,inoculation,BH,BH seed,BH seed,20,TCB,5/5/16,5/17/16,X668,0,0,NA,NA,NA,NA,,YES,
Competition,NA,71,inoculation,EG,EG seed,BH seed,20,TCB,5/5/16,5/17/16,X667,1,1,0.1,NA,NA,NA,,NO,
Competition,NA,71,inoculation,SP,SP seed,BH seed,20,TCB,5/5/16,5/17/16,X666,0.1,0.1,0,NA,NA,NA,,NO,
Competition,NA,71,inoculation,EG,EG adult,BH seed,20,TCB,5/5/16,5/17/16,X670,1,0,0,NA,NA,NA,,NO,
Competition,NA,71,inoculation,SP,SP adult,BH seed,20,TCB,5/5/16,5/11/16,X671,1,0.1,10,NA,NA,NA,,YES TWO,2ND ON 5/17
Competition,NA,72,ambient,AB,AB seed,SP seed,40,TCB,5/5/16,5/17/16,X775,0,1,0.1,NA,NA,NA,,YES,
Competition,NA,72,ambient,BD,BD seed,SP seed,40,TCB,5/5/16,5/17/16,X672,0.1,0.1,NA,NA,NA,NA,,YES,
Competition,NA,72,ambient,BH,BH seed,SP seed,40,TCB,5/5/16,5/17/16,X673,0,0,0,NA,NA,NA,,YES,
Competition,NA,72,ambient,EG,EG seed,SP seed,40,TCB,5/5/16,5/17/16,X776,1,1,0,NA,NA,NA,YES,NO,Orange Rust
Competition,NA,72,ambient,SP,SP seed,SP seed,40,TCB,5/5/16,5/17/16,X674,1,0,0,NA,NA,NA,,NO,
Competition,NA,72,ambient,EG,EG adult,SP seed,40,TCB,5/5/16,5/17/16,X675,1,1,0.1,NA,NA,NA,,YES,
Competition,NA,72,ambient,SP,SP adult,SP seed,40,TCB,5/5/16,5/11/16,X676,0.1,1,1,NA,NA,NA,,NO,
Competition,NA,73,fungicide,AB,AB seed,EG seed,40,TCB,5/5/16,5/17/16,X777,0.1,0,0,NA,NA,NA,,YES,
Competition,NA,73,fungicide,BD,BD seed,EG seed,40,TCB,5/5/16,5/17/16,X778,0,0,0,NA,NA,NA,,YES,R685
Competition,NA,73,fungicide,BH,BH seed,EG seed,40,TCB,5/5/16,5/17/16,X779,0,0,NA,NA,NA,NA,,YES,R681
Competition,NA,73,fungicide,EG,EG seed,EG seed,40,TCB,5/5/16,5/17/16,X782,0.1,0,0,NA,NA,NA,,NO,R679
Competition,NA,73,fungicide,SP,SP seed,EG seed,40,TCB,5/5/16,5/17/16,X781,1,1,0,NA,NA,NA,,NO,EG?; R682
Competition,NA,73,fungicide,EG,EG adult,EG seed,40,TCB,5/5/16,5/17/16,X783,0.1,0.1,0,NA,NA,NA,,YES,R684
Competition,NA,73,fungicide,SP,SP adult,EG seed,40,TCB,5/5/16,5/11/16,X780,0,0,0,NA,NA,NA,,YES,R683
Competition,NA,74,ambient,AB,AB seed,EG seed,10,TCB,5/11/16,5/17/16,X786,0.1,0,0,NA,NA,NA,YES,YES,orange rust; R688
