Number,Plot.type.code,Species,Density,Treatment,X,Y,Focal.species.missing.noted.during.weeding,Date(s).missing.plants.noted,Other.weeding.notes
230,X,BD seed,100,ambient,31,20,,,
231,X,BH seed,10,ambient,31,22,,,
232,X,SP seed,20,ambient,31,24,,,
233,X,EG seed,40,inoculation,31,26,,,
234,X,EG seed,80,inoculation,31,28,,,
235,X,BH seed,10,fungicide,31,30,"SP, BD",4/25/16,
236,X,AB seed,40,inoculation,31,32,,,
237,X,BH seed,10,inoculation,31,34,,,
53,D,SP adult,4,ambient,32,2,,,
47,C,SP adult,6,ambient,32,4,,,no EG?
34,A,SP adult,10,inoculation,32,6,"SP, BD, EG",4/2/16,
42,B,SP adult,8,fungicide,32,8,"AB, BD",4/2/16,4/25/2016 missing BD not mentioned
238,X,EG adults,10,fungicide,32,10,SP,4/26/16,no SP marker
23,L,All,1,fungicide,33,12,,,
24,L,All,1,ambient,33,15,SP,3/31/16,
25,L,All,1,inoculation,33,18,,,no SP?
26,L,All,1,inoculation,33,21,SP,4/2/16,
27,L,All,1,inoculation,33,24,,,
28,L,All,1,fungicide,33,27,,,
29,L,All,1,inoculation,33,30,SP,4/2/16,
30,L,All,1,fungicide,33,33,SP,4/2/16,
54,D,SP adult,4,inoculation,34,2,SP,4/2/16,
35,A,SP adult,10,inoculation,34,4,SP,4/2/16,
36,A,SP adult,10,fungicide,34,6,"EG, SP, BD","SP 4/2/2016, BD 4/26/2016","no AB near marker, BH no flowers as of 4/25/2016"
48,C,SP adult,6,fungicide,34,8,"SP, BD","SP 4/2/2016, BD 4/25/2016",
239,X,BH seed,20,inoculation,34,10,EG,4/2/16,
